"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","UI 테스트","10","0","상품 검색 테스트","0"
"0","","0","영화 목록","1","0","영화 검색 API 테스트","0"
"0","","0","UI 테스트","1","0","카테고리 기능 테스트","0"
"0","","0","예외 케이스","1","0","잘못된 API 키","0"
"0","","1","예외 케이스","0","0","잘못된 ID,PW 입력","0"
"0","","0","영화 목록","1","0","영화 상세 정보 API 테스트","0"
"0","","0","영화 목록","1","0","인기 영화 조회","0"
"0","","0","UI 테스트","1","0","장바구니 화면 체크 테스트","0"
"0","","0","UI 테스트","1","0","상품 추가 테스트","0"
"0","","1","UI 테스트","0","0","검색창 FAILED 테스트","0"
