"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4177","test_cart","src.tests.ui_tests","Thu Mar 06 16:30:51 UTC 2025","passed","Thu Mar 06 16:30:55 UTC 2025","","test_ui_cart","",""
"","4222","test_product_search[TC_009-\ud0a4\ubcf4\ub4dc]","src.tests.ui_tests","Thu Mar 06 16:32:19 UTC 2025","passed","Thu Mar 06 16:32:23 UTC 2025","","test_ui_search","",""
"","4287","test_product_search[TC_003-\ub9e5\ubd81\ud504\ub85c]","src.tests.ui_tests","Thu Mar 06 16:31:53 UTC 2025","passed","Thu Mar 06 16:31:58 UTC 2025","","test_ui_search","",""
"","4264","test_product_search[TC_006-\ub178\ud2b8\ubd81]","src.tests.ui_tests","Thu Mar 06 16:32:06 UTC 2025","passed","Thu Mar 06 16:32:10 UTC 2025","","test_ui_search","",""
"
    일부러 실패하게 만드는 테스트
    - 올바르지 않은 요소 선택
    - 검색창이 없는 요소를 클릭 시도하여 실패 유발
    ","10875","test_fail_screenshot","src.tests.ui_tests","Thu Mar 06 16:30:24 UTC 2025","failed","Thu Mar 06 16:30:35 UTC 2025","","test_fail_screenshot","",""
"","4226","test_product_search[TC_004-iPhone16]","src.tests.ui_tests","Thu Mar 06 16:31:58 UTC 2025","passed","Thu Mar 06 16:32:02 UTC 2025","","test_ui_search","",""
"","4264","test_product_search[TC_005-\ud5e4\ub4dc\uc14b]","src.tests.ui_tests","Thu Mar 06 16:32:02 UTC 2025","passed","Thu Mar 06 16:32:06 UTC 2025","","test_ui_search","",""
"","4278","test_product_search[TC_008-\ub9c8\uc6b0\uc2a4]","src.tests.ui_tests","Thu Mar 06 16:32:15 UTC 2025","passed","Thu Mar 06 16:32:19 UTC 2025","","test_ui_search","",""
"","12112","test_login","src.tests.ui_tests","Thu Mar 06 16:31:30 UTC 2025","broken","Thu Mar 06 16:31:42 UTC 2025","","test_ui_login","",""
"","4207","test_product_search[TC_010-\ubb3c]","src.tests.ui_tests","Thu Mar 06 16:32:23 UTC 2025","passed","Thu Mar 06 16:32:27 UTC 2025","","test_ui_search","",""
"","4375","test_product_search[TC_002-\uc81c\ub85c\ucf5c\ub77c]","src.tests.ui_tests","Thu Mar 06 16:31:49 UTC 2025","passed","Thu Mar 06 16:31:53 UTC 2025","","test_ui_search","",""
"","4260","test_product_search[TC_007-\uacfc\uc790\uc138\ud2b8]","src.tests.ui_tests","Thu Mar 06 16:32:10 UTC 2025","passed","Thu Mar 06 16:32:15 UTC 2025","","test_ui_search","",""
"
       상품을 검색 후 추가하는 테스트
       - 수량올리기, 수량내리기 기능 구현
       - 검색 후 상품 선택 후 카트에 추가 구현
       ","10318","test_add_product","src.tests.ui_tests","Thu Mar 06 16:30:38 UTC 2025","passed","Thu Mar 06 16:30:49 UTC 2025","","test_ui_add_product","",""
"","29423","test_category","src.tests.ui_tests","Thu Mar 06 16:30:58 UTC 2025","passed","Thu Mar 06 16:31:27 UTC 2025","","test_ui_category","",""
"","4337","test_product_search[TC_001-\uac24\ub7ed\uc2dcS25]","src.tests.ui_tests","Thu Mar 06 16:31:45 UTC 2025","passed","Thu Mar 06 16:31:49 UTC 2025","","test_ui_search","",""
