"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5325","test_ui_quantity","src.tests.ui_tests","Sun May 04 03:43:07 UTC 2025","broken","Sun May 04 03:43:12 UTC 2025","","test_ui_quantity","",""
"","7749","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:44:35 UTC 2025","passed","Sun May 04 03:44:43 UTC 2025","","test_ui_search","",""
"","8539","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:44:27 UTC 2025","passed","Sun May 04 03:44:35 UTC 2025","","test_ui_search","",""
"특정 영화 상세 정보 API 테스트","28","유효한 movie_id에 대한 상세 정보 조회 테스트","src.tests.api_tests","Sun May 04 03:44:44 UTC 2025","broken","Sun May 04 03:44:44 UTC 2025","","test_movie_details","",""
"","52","API 키가 잘못 되었을 때 401 Unauthorized 확인","src.tests.api_tests","Sun May 04 03:44:44 UTC 2025","broken","Sun May 04 03:44:44 UTC 2025","","test_moive_invalid_api_key","",""
"","6268","장바구니 버튼이 동작 하는지 확인","src.tests.ui_tests","Sun May 04 03:42:11 UTC 2025","passed","Sun May 04 03:42:18 UTC 2025","","test_ui_cart","",""
"
       상품을 검색 후 추가하는 테스트
       - 수량올리기, 수량내리기 기능 구현
       - 검색 후 상품 선택 후 카트에 추가 구현
       ","22997","상품 상세 화면의 UI 기능들이 동작 하는지 확인","src.tests.ui_tests","Sun May 04 03:41:48 UTC 2025","passed","Sun May 04 03:42:11 UTC 2025","","test_ui_add_product","",""
"특정 영화 상세 정보 API 테스트","22","유효한 movie_id에 대한 상세 정보 조회 테스트","src.tests.api_tests","Sun May 04 03:44:44 UTC 2025","passed","Sun May 04 03:44:44 UTC 2025","","test_movie_details","",""
"","7904","잘못된 ID,PW 입력 시 로그인이 실패하는지 확인","src.tests.ui_tests","Sun May 04 03:42:58 UTC 2025","failed","Sun May 04 03:43:06 UTC 2025","","test_ui_login","",""
"","8005","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:44:03 UTC 2025","passed","Sun May 04 03:44:11 UTC 2025","","test_ui_search","",""
"","38575","상품 검색 후 카테고리 버튼들이 동작 하는지 확인","src.tests.ui_tests","Sun May 04 03:42:18 UTC 2025","passed","Sun May 04 03:42:57 UTC 2025","","test_ui_category","",""
"","13","영화 검색 기능이 잘 동작 하는지 확인","src.tests.api_tests","Sun May 04 03:44:44 UTC 2025","passed","Sun May 04 03:44:44 UTC 2025","","test_search_movie","",""
"특정 영화 상세 정보 API 테스트","15","유효한 movie_id에 대한 상세 정보 조회 테스트","src.tests.api_tests","Sun May 04 03:44:44 UTC 2025","passed","Sun May 04 03:44:44 UTC 2025","","test_movie_details","",""
"","7436","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:43:23 UTC 2025","passed","Sun May 04 03:43:31 UTC 2025","","test_ui_search","",""
"
    일부러 실패하게 만드는 테스트
    - 올바르지 않은 요소 선택
    - 검색창이 없는 요소를 클릭 시도하여 실패 유발
    ","4366","FAILED 기능 동작 하는지 확인","src.tests.ui_tests","Sun May 04 03:41:42 UTC 2025","failed","Sun May 04 03:41:47 UTC 2025","","test_fail_screenshot","",""
"","15","인기 영화 목록 조회 - 200 응답 확인","src.tests.api_tests","Sun May 04 03:44:44 UTC 2025","passed","Sun May 04 03:44:44 UTC 2025","","test_popular_movie","",""
"","8235","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:43:39 UTC 2025","passed","Sun May 04 03:43:47 UTC 2025","","test_ui_search","",""
"특정 영화 상세 정보 API 테스트","27","유효한 movie_id에 대한 상세 정보 조회 테스트","src.tests.api_tests","Sun May 04 03:44:44 UTC 2025","passed","Sun May 04 03:44:44 UTC 2025","","test_movie_details","",""
"","7845","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:44:11 UTC 2025","passed","Sun May 04 03:44:19 UTC 2025","","test_ui_search","",""
"","8266","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:44:19 UTC 2025","passed","Sun May 04 03:44:27 UTC 2025","","test_ui_search","",""
"","9930","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:43:14 UTC 2025","passed","Sun May 04 03:43:23 UTC 2025","","test_ui_search","",""
"","7839","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:43:55 UTC 2025","passed","Sun May 04 03:44:03 UTC 2025","","test_ui_search","",""
"","7940","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:43:47 UTC 2025","passed","Sun May 04 03:43:55 UTC 2025","","test_ui_search","",""
"","7758","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Sun May 04 03:43:31 UTC 2025","passed","Sun May 04 03:43:39 UTC 2025","","test_ui_search","",""
