"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16699","수량 증가/감소 버튼 동작 확인","src.tests.ui_tests","Tue Nov 25 16:08:05 UTC 2025","broken","Tue Nov 25 16:08:21 UTC 2025","","test_ui_quantity","",""
"","2627","장바구니 버튼이 동작 하는지 확인","src.tests.ui_tests","Tue Nov 25 16:07:35 UTC 2025","passed","Tue Nov 25 16:07:37 UTC 2025","","test_ui_cart","",""
"","2549","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:43 UTC 2025","passed","Tue Nov 25 16:08:46 UTC 2025","","test_ui_search","",""
"","36","test_movie_genre_inclusion[157336-expected_genres2]","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_genre_inclusion","",""
"","2612","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:41 UTC 2025","passed","Tue Nov 25 16:08:43 UTC 2025","","test_ui_search","",""
"","125","API 키가 잘못 되었을 때 401 Unauthorized 확인","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_moive_invalid_api_key","",""
"","131","test_rated_movie_consistency","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:03 UTC 2025","","test_top_rated_movie_consistency","",""
"","205","SLA 응답 시간 테스트 - 2초 미만","src.tests.api_tests","Tue Nov 25 16:09:01 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_api_sla","",""
"","38","인기 영화 목록 조회 - 200 응답 확인","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_popular_movie","",""
"","2853","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:32 UTC 2025","passed","Tue Nov 25 16:08:35 UTC 2025","","test_ui_search","",""
"","3120","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:46 UTC 2025","passed","Tue Nov 25 16:08:49 UTC 2025","","test_ui_search","",""
"특정 영화 상세 정보 API 테스트","37","유효한 movie_id에 대한 상세 정보 조회 테스트","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_details","",""
"","42","test_movie_videos","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_videos","",""
"","4956","상품 검색 후 카테고리 정렬 버튼들이 정상 동작하는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:56 UTC 2025","broken","Tue Nov 25 16:09:01 UTC 2025","","test_ui_sort_button","",""
"","36","영화 개봉일 확인","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_release_date_consistency","",""
"","16546","로그인 후 상품 추가하고 상품이 장바구니에 담겨 있는지 확인","src.tests.ui_tests","Tue Nov 25 16:07:47 UTC 2025","failed","Tue Nov 25 16:08:04 UTC 2025","","test_ui_product_add_flow","",""
"특정 영화 상세 정보 API 테스트","209","유효한 movie_id에 대한 상세 정보 조회 테스트","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_details","",""
"","38","영화 개봉일 확인","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_release_date_consistency","",""
"","134","영화 검색 기능이 잘 동작 하는지 확인","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_search_movie","",""
"","8552","잘못된 ID,PW 입력 시 로그인이 실패하는지 확인","src.tests.ui_tests","Tue Nov 25 16:07:38 UTC 2025","failed","Tue Nov 25 16:07:47 UTC 2025","","test_ui_login","",""
"","11807","상품 검색 후 장바구니 추가 기능 동작 확인","src.tests.ui_tests","Tue Nov 25 16:07:22 UTC 2025","passed","Tue Nov 25 16:07:34 UTC 2025","","test_ui_add_product","",""
"","3135","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:26 UTC 2025","passed","Tue Nov 25 16:08:29 UTC 2025","","test_ui_search","",""
"","35","영화 개봉일 확인","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_release_date_consistency","",""
"","2990","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:35 UTC 2025","passed","Tue Nov 25 16:08:38 UTC 2025","","test_ui_search","",""
"","3001","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:52 UTC 2025","passed","Tue Nov 25 16:08:55 UTC 2025","","test_ui_search","",""
"","12436","존재하지 않는 상품 검색 시, 결과 없음 메시지 확인","src.tests.ui_tests","Tue Nov 25 16:07:09 UTC 2025","broken","Tue Nov 25 16:07:21 UTC 2025","","test_invalied_search","",""
"","35","test_movie_genre_inclusion[603-expected_genres1]","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_genre_inclusion","",""
"","7039","공백 입력 시, 팝업 노출 확인","src.tests.ui_tests","Tue Nov 25 16:06:58 UTC 2025","passed","Tue Nov 25 16:07:05 UTC 2025","","test_blank_search","",""
"","3030","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:49 UTC 2025","passed","Tue Nov 25 16:08:52 UTC 2025","","test_ui_search","",""
"
    일부러 실패하게 만드는 테스트
    - 올바르지 않은 요소 선택
    - 검색창이 없는 요소를 클릭 시도하여 실패 유발
    ","1882","FAILED 기능 동작 하는지 확인","src.tests.ui_tests","Tue Nov 25 16:07:06 UTC 2025","broken","Tue Nov 25 16:07:08 UTC 2025","","test_fail_screenshot","",""
"","64","test_movie_genre_inclusion[550-expected_genres0]","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_genre_inclusion","",""
"","2672","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:38 UTC 2025","passed","Tue Nov 25 16:08:41 UTC 2025","","test_ui_search","",""
"특정 영화 상세 정보 API 테스트","36","유효한 movie_id에 대한 상세 정보 조회 테스트","src.tests.api_tests","Tue Nov 25 16:09:02 UTC 2025","passed","Tue Nov 25 16:09:02 UTC 2025","","test_movie_details","",""
"","225","SLA 응답 시간 테스트 - 2초 미만","src.tests.api_tests","Tue Nov 25 16:09:01 UTC 2025","passed","Tue Nov 25 16:09:01 UTC 2025","","test_api_sla","",""
"","4113","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:22 UTC 2025","passed","Tue Nov 25 16:08:26 UTC 2025","","test_ui_search","",""
"","2541","입력된 상품명으로 검색 시 검색되는지 확인","src.tests.ui_tests","Tue Nov 25 16:08:29 UTC 2025","passed","Tue Nov 25 16:08:32 UTC 2025","","test_ui_search","",""
