"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10951","test_add_product","src.tests.ui_tests","Sat Mar 01 08:32:07 UTC 2025","passed","Sat Mar 01 08:32:18 UTC 2025","","test_ui_add_product","",""
"","4393","test_product_search[TC_007-\uacfc\uc790\uc138\ud2b8]","src.tests.ui_tests","Sat Mar 01 08:33:09 UTC 2025","passed","Sat Mar 01 08:33:13 UTC 2025","","test_ui_search","",""
"","4402","test_product_search[TC_009-\ud0a4\ubcf4\ub4dc]","src.tests.ui_tests","Sat Mar 01 08:33:18 UTC 2025","passed","Sat Mar 01 08:33:22 UTC 2025","","test_ui_search","",""
"","4355","test_product_search[TC_003-\ub9e5\ubd81\ud504\ub85c]","src.tests.ui_tests","Sat Mar 01 08:32:51 UTC 2025","passed","Sat Mar 01 08:32:56 UTC 2025","","test_ui_search","",""
"","4427","test_product_search[TC_005-\ud5e4\ub4dc\uc14b]","src.tests.ui_tests","Sat Mar 01 08:33:00 UTC 2025","passed","Sat Mar 01 08:33:05 UTC 2025","","test_ui_search","",""
"","4341","test_product_search[TC_004-iPhone16]","src.tests.ui_tests","Sat Mar 01 08:32:56 UTC 2025","passed","Sat Mar 01 08:33:00 UTC 2025","","test_ui_search","",""
"","4505","test_product_search[TC_001-\uac24\ub7ed\uc2dcS25]","src.tests.ui_tests","Sat Mar 01 08:32:42 UTC 2025","passed","Sat Mar 01 08:32:47 UTC 2025","","test_ui_search","",""
"","4422","test_product_search[TC_008-\ub9c8\uc6b0\uc2a4]","src.tests.ui_tests","Sat Mar 01 08:33:13 UTC 2025","passed","Sat Mar 01 08:33:18 UTC 2025","","test_ui_search","",""
"","4730","test_product_search[TC_002-\uc81c\ub85c\ucf5c\ub77c]","src.tests.ui_tests","Sat Mar 01 08:32:47 UTC 2025","passed","Sat Mar 01 08:32:51 UTC 2025","","test_ui_search","",""
"","16877","test_category","src.tests.ui_tests","Sat Mar 01 08:32:24 UTC 2025","passed","Sat Mar 01 08:32:40 UTC 2025","","test_ui_category","",""
"","4380","test_product_search[TC_010-\ubb3c]","src.tests.ui_tests","Sat Mar 01 08:33:22 UTC 2025","passed","Sat Mar 01 08:33:27 UTC 2025","","test_ui_search","",""
"","4350","test_product_search[TC_006-\ub178\ud2b8\ubd81]","src.tests.ui_tests","Sat Mar 01 08:33:05 UTC 2025","passed","Sat Mar 01 08:33:09 UTC 2025","","test_ui_search","",""
"","2203","test_cart","src.tests.ui_tests","Sat Mar 01 08:32:20 UTC 2025","passed","Sat Mar 01 08:32:22 UTC 2025","","test_ui_cart","",""
