"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5963","test_product_search[TC_003-\ub9e5\ubd81\ud504\ub85c]","src.tests.ui_tests","Sat Mar 29 22:03:47 UTC 2025","passed","Sat Mar 29 22:03:53 UTC 2025","","test_ui_search","",""
"","5509","test_product_search[TC_005-\ud5e4\ub4dc\uc14b]","src.tests.ui_tests","Sat Mar 29 22:03:59 UTC 2025","passed","Sat Mar 29 22:04:04 UTC 2025","","test_ui_search","",""
"","5727","test_product_search[TC_004-iPhone16]","src.tests.ui_tests","Sat Mar 29 22:03:53 UTC 2025","passed","Sat Mar 29 22:03:59 UTC 2025","","test_ui_search","",""
"
일부러 실패하게 만드는 테스트
- 올바르지 않은 요소 선택
- 검색창이 없는 요소를 클릭 시도하여 실패 유발
","2733","test_fail_screenshot","src.tests.ui_tests","Sat Mar 29 22:02:18 UTC 2025","failed","Sat Mar 29 22:02:21 UTC 2025","","test_fail_screenshot","",""
"특정 영화 상세 정보 API 테스트","134","영화 상세 정보 노출 되는지 확인","src.tests.api_tests","Sat Mar 29 22:04:31 UTC 2025","passed","Sat Mar 29 22:04:31 UTC 2025","","test_moive_details","",""
"","5315","test_product_search[TC_008-\ub9c8\uc6b0\uc2a4]","src.tests.ui_tests","Sat Mar 29 22:04:15 UTC 2025","passed","Sat Mar 29 22:04:20 UTC 2025","","test_ui_search","",""
"영화 검색 테스트","118","test_search_movie","src.tests.api_tests","Sat Mar 29 22:04:31 UTC 2025","passed","Sat Mar 29 22:04:32 UTC 2025","","test_search_moive","",""
"","100","API 키가 잘못되었을 때 401 Unauthorized 확인","src.tests.api_tests","Sat Mar 29 22:04:31 UTC 2025","passed","Sat Mar 29 22:04:31 UTC 2025","","test_moive_invalid_api_key","",""
"","5159","test_product_search[TC_010-\ubb3c]","src.tests.ui_tests","Sat Mar 29 22:04:25 UTC 2025","passed","Sat Mar 29 22:04:31 UTC 2025","","test_ui_search","",""
"","37286","test_category","src.tests.ui_tests","Sat Mar 29 22:02:52 UTC 2025","passed","Sat Mar 29 22:03:29 UTC 2025","","test_ui_category","",""
"","61","인기 영화 목록 조회 - 200 응답 확인","src.tests.api_tests","Sat Mar 29 22:04:31 UTC 2025","passed","Sat Mar 29 22:04:31 UTC 2025","","test_popular_movie","",""
"","6950","test_cart","src.tests.ui_tests","Sat Mar 29 22:02:45 UTC 2025","passed","Sat Mar 29 22:02:52 UTC 2025","","test_ui_cart","",""
"","5874","test_product_search[TC_001-\uac24\ub7ed\uc2dcS25]","src.tests.ui_tests","Sat Mar 29 22:03:36 UTC 2025","passed","Sat Mar 29 22:03:42 UTC 2025","","test_ui_search","",""
"
상품을 검색 후 추가하는 테스트
- 수량올리기, 수량내리기 기능 구현
- 검색 후 상품 선택 후 카트에 추가 구현
","22467","test_add_product","src.tests.ui_tests","Sat Mar 29 22:02:22 UTC 2025","passed","Sat Mar 29 22:02:44 UTC 2025","","test_ui_add_product","",""
"","4800","test_login","src.tests.ui_tests","Sat Mar 29 22:03:30 UTC 2025","failed","Sat Mar 29 22:03:35 UTC 2025","","test_ui_login","",""
"","5145","test_product_search[TC_006-\ub178\ud2b8\ubd81]","src.tests.ui_tests","Sat Mar 29 22:04:04 UTC 2025","passed","Sat Mar 29 22:04:09 UTC 2025","","test_ui_search","",""
"","5386","test_product_search[TC_007-\uacfc\uc790\uc138\ud2b8]","src.tests.ui_tests","Sat Mar 29 22:04:09 UTC 2025","passed","Sat Mar 29 22:04:15 UTC 2025","","test_ui_search","",""
"","5603","test_product_search[TC_002-\uc81c\ub85c\ucf5c\ub77c]","src.tests.ui_tests","Sat Mar 29 22:03:42 UTC 2025","passed","Sat Mar 29 22:03:47 UTC 2025","","test_ui_search","",""
"","5172","test_product_search[TC_009-\ud0a4\ubcf4\ub4dc]","src.tests.ui_tests","Sat Mar 29 22:04:20 UTC 2025","passed","Sat Mar 29 22:04:25 UTC 2025","","test_ui_search","",""
