"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","영화 목록 API 테스트","3","0","영화 페이지네이션 테스트","0"
"0","","0","장바구니","1","0","장바구니 접근","0"
"0","","2","상품 검색","9","0","검색 기능","0"
"0","","0","영화 목록 API 테스트","3","0","영화 상세 정보 API 테스트","0"
"0","","0","영화 상세 정보 API 테스트","1","0","영화 비디오 정보 테스트","0"
"0","","0","영화 상세 정보 API 테스트","3","0","영화 개봉일 일관성 테스트","0"
"1","","1","사용자 인증","1","0","로그인","0"
"2","","0","장바구니 관리","0","0","장바구니 상품 관리","0"
"0","","0","검색 및 필터링","4","0","상품 정렬","0"
"0","","0","영화 목록 API 테스트","1","0","인기 영화 조회","0"
"0","","0","UI 테스트","2","0","검색 실패 케이스","0"
"0","","0","영화 목록 API 테스트","1","0","영화 검색 기능 테스트","0"
"0","","0","영화 상세 정보 API 테스트","3","0","영화 장르 포함 여부 테스트","0"
"0","","0","영화 목록 API 테스트","2","0","영화 페이지 SLA 응답 시간 테스트","0"
"1","","0","장바구니 기능","0","0","상품 추가 플로우","0"
"0","","0","상품 관리","1","0","상품 추가","0"
"1","","0","상품 관리","0","0","수량 조절","0"
"0","","1","E2E 플로우","0","0","로그인 후 상품 추가","0"
