"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","영화 ID 603의 개봉일 일관성 테스트","src.tests.api","Sat Jan 31 08:11:23 UTC 2026","passed","Sat Jan 31 08:11:23 UTC 2026","","test_movie_release_date_consistency","",""
"
    상품을 장바구니에 추가하는 전체 플로우 테스트
    Steps:
        1. 상품 검색
        2. 세 번째 상품의 추가 버튼 클릭
        3. 수량 2회 증가
        4. 수량 2회 감소
        5. 장바구니에 담기
    ","20262","상품을 장바구니에 추가하는 전체 플로우 테스트","src.tests.ui","Sat Jan 31 08:11:20 UTC 2026","broken","Sat Jan 31 08:11:40 UTC 2026","","test_add_goods_to_cart","",""
"영화 목록의 첫 번째 페이지를 조회하여 정상 동작을 확인합니다.","66","페이지 1 조회 - 기본 페이지네이션","src.tests.api","Sat Jan 31 08:11:22 UTC 2026","passed","Sat Jan 31 08:11:22 UTC 2026","TestMoviePagination","test_movie_pagination","",""
"","20","영화 ID {movie_id}의 비디오 정보 테스트","src.tests.api","Sat Jan 31 08:11:23 UTC 2026","passed","Sat Jan 31 08:11:23 UTC 2026","","test_movie_videos","",""
"
    빈 검색어로 검색 시 '검색 결과가 없습니다' 메시지 확인 테스트
    ","5653","빈 검색어로 검색 시 '검색 결과가 없습니다' 메시지 확인 테스트","src.tests.ui","Sat Jan 31 08:12:01 UTC 2026","passed","Sat Jan 31 08:12:07 UTC 2026","","test_invalid_search","",""
"특정 영화 상세 정보 API 테스트","24","유효한 movie_id에 대한 상세 정보 조회 테스트","src.tests.api","Sat Jan 31 08:11:22 UTC 2026","passed","Sat Jan 31 08:11:22 UTC 2026","","test_movie_details","",""
"
    빈 검색어로 검색 시 '검색 결과가 없습니다' 메시지 확인 테스트
    ","2880","빈 검색어로 검색 시 '검색 결과가 없습니다' 메시지 확인 테스트","src.tests.ui","Sat Jan 31 08:11:41 UTC 2026","passed","Sat Jan 31 08:11:44 UTC 2026","","test_blank_search","",""
"
    검색 결과에서 모든 정렬 옵션이 정상 동작하는지 확인

    테스트 시나리오:
        1. 마켓컬리 메인 페이지 접속
        2. 특정 키워드('과자')로 검색       
        3. 정렬 옵션 선택 (추천순/신상품순/낮은가격순/높은가격순)
        4. 정렬이 올바르게 적용되었는지 확인

    Args:
        driver: WebDriver fixture
        sort_type: 테스트할 정렬 타입
            - recommend: 추천순
            - new: 신상품순
            - low_price: 낮은 가격순
            - high_price: 높은 가격순

    Expected:
        선택한 정렬 옵션에 따라 상품 목록이 올바르게 정렬됨
    ","5338","정렬 옵션 테스트: low_price","src.tests.ui","Sat Jan 31 08:14:11 UTC 2026","passed","Sat Jan 31 08:14:17 UTC 2026","","test_ui_sort_button","",""
"","19","영화 검색 기능이 잘 동작 하는지 확인","src.tests.api","Sat Jan 31 08:11:23 UTC 2026","passed","Sat Jan 31 08:11:23 UTC 2026","","test_search_movie","",""
"
    검색 결과에서 모든 정렬 옵션이 정상 동작하는지 확인

    테스트 시나리오:
        1. 마켓컬리 메인 페이지 접속
        2. 특정 키워드('과자')로 검색       
        3. 정렬 옵션 선택 (추천순/신상품순/낮은가격순/높은가격순)
        4. 정렬이 올바르게 적용되었는지 확인

    Args:
        driver: WebDriver fixture
        sort_type: 테스트할 정렬 타입
            - recommend: 추천순
            - new: 신상품순
            - low_price: 낮은 가격순
            - high_price: 높은 가격순

    Expected:
        선택한 정렬 옵션에 따라 상품 목록이 올바르게 정렬됨
    ","5427","정렬 옵션 테스트: new","src.tests.ui","Sat Jan 31 08:14:06 UTC 2026","passed","Sat Jan 31 08:14:11 UTC 2026","","test_ui_sort_button","",""
"
    검색 결과에서 모든 정렬 옵션이 정상 동작하는지 확인

    테스트 시나리오:
        1. 마켓컬리 메인 페이지 접속
        2. 특정 키워드('과자')로 검색       
        3. 정렬 옵션 선택 (추천순/신상품순/낮은가격순/높은가격순)
        4. 정렬이 올바르게 적용되었는지 확인

    Args:
        driver: WebDriver fixture
        sort_type: 테스트할 정렬 타입
            - recommend: 추천순
            - new: 신상품순
            - low_price: 낮은 가격순
            - high_price: 높은 가격순

    Expected:
        선택한 정렬 옵션에 따라 상품 목록이 올바르게 정렬됨
    ","7039","정렬 옵션 테스트: recommend","src.tests.ui","Sat Jan 31 08:13:59 UTC 2026","passed","Sat Jan 31 08:14:06 UTC 2026","","test_ui_sort_button","",""
"
    **목적:** 유효한 검색어로 검색 시 적절한 검색 결과가 표시되는지 확인

    **테스트 단계:**
    1. 마켓컬리 메인 페이지 접속
    2. 검색창에 검색어 입력 (예: ""사과"")
    3. 검색 버튼 클릭
    4. 검색 결과 확인

    **예상 결과:** 검색어와 관련된 상품이 1개 이상 표시됨
    ","4194","정상적인 검색어로 상품 검색","src.tests.ui","Sat Jan 31 08:13:10 UTC 2026","passed","Sat Jan 31 08:13:14 UTC 2026","TestSearch","test_ui_search","",""
"
    **목적:** 빈 검색어로 검색 시 적절한 처리가 되는지 확인

    **테스트 단계:**
    1. 마켓컬리 메인 페이지 접속
    2. 검색창에 아무것도 입력하지 않음
    3. 검색 버튼 클릭
    4. 에러 처리 또는 기본 페이지 유지 확인

    **예상 결과:** 검색이 실행되지 않거나 에러 메시지 표시
    ","1251","빈 검색어로 검색 시도","src.tests.ui","Sat Jan 31 08:13:14 UTC 2026","passed","Sat Jan 31 08:13:16 UTC 2026","TestSearch","test_ui_search","",""
"
    **목적:** 검색 결과에서 상품을 클릭하여 상세 페이지로 이동할 수 있는지 확인

    **테스트 단계:**
    1. 마켓컬리 메인 페이지 접속
    2. 검색창에 검색어 입력
    3. 검색 실행
    4. 첫 번째 검색 결과 클릭
    5. 상세 페이지로 이동 확인

    **예상 결과:** 상품 상세 페이지로 정상 이동
    ","14804","검색 후 첫 번째 상품 클릭","src.tests.ui","Sat Jan 31 08:13:33 UTC 2026","failed","Sat Jan 31 08:13:48 UTC 2026","TestSearch","test_ui_search","",""
"
    **목적:** 존재하지 않는 상품명으로 검색 시 '결과 없음' 메시지가 표시되는지 확인

    **테스트 단계:**
    1. 마켓컬리 메인 페이지 접속
    2. 검색창에 존재하지 않는 상품명 입력
    3. 검색 버튼 클릭
    4. ""검색 결과가 없습니다"" 메시지 확인

    **예상 결과:** 검색 결과가 없다는 메시지가 표시됨
    ","6889","존재하지 않는 상품명으로 검색","src.tests.ui","Sat Jan 31 08:13:16 UTC 2026","passed","Sat Jan 31 08:13:22 UTC 2026","TestSearch","test_ui_search","",""
"영화 목록의 두 번째 페이지를 조회하여 첫 페이지와 다른 결과를 반환하는지 검증.","36","페이지 2 조회 - 페이지네이션 테스트","src.tests.api","Sat Jan 31 08:11:22 UTC 2026","failed","Sat Jan 31 08:11:22 UTC 2026","TestMoviePagination","test_movie_pagination","",""
