id,title,vote_average,release_date
27205,Inception,8.37,2010-07-15
770156,Lucy Shimmers and the Prince of Peace,8.369,2020-10-19
724089,Gabriel's Inferno: Part II,8.369,2020-07-31
1058694,Radical,8.4,2023-10-19
761053,Gabriel's Inferno: Part III,8.361,2020-11-19
12493,High and Low,8.3,1963-03-01
567,Rear Window,8.3,1954-08-01
274,The Silence of the Lambs,8.346,1991-02-14
569094,Spider-Man: Across the Spider-Verse,8.3,2023-05-31
73,American History X,8.3,1998-07-01
128,Princess Mononoke,8.3,1997-07-12
620249,The Legend of Hei,8.3,2019-08-27
105,Back to the Future,8.323,1985-07-03
1184918,The Wild Robot,8.3,2024-09-12
820067,The Quintessential Quintuplets Movie,8.3,2022-05-20
3782,Ikiru,8.306,1952-10-09
372754,Dou kyu sei – Classmates,8.303,2016-02-20
10494,Perfect Blue,8.299,1998-02-28
207,Dead Poets Society,8.301,1989-06-02
101,Léon: The Professional,8.3,1994-09-14
